# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.064968442526627354e-02 5.647842285156250000e+03 nan 1.566526406250000036e+04
6.129936885053254014e-02 6.658057942708333030e+03 9.110411132812500000e+03 1.362389843750000000e+04
9.194905327579880328e-02 3.440347656250000000e+03 2.018646362304687500e+03 4.004758928571428442e+03
1.225987377010650803e-01 2.725260156250000364e+03 2.917493815104166515e+03 5.563314024390244413e+03
1.532484221263313573e-01 1.910355312500000082e+03 2.713423177083333030e+03 2.783766804245282856e+03
1.838981065515976066e-01 1.760474414062500045e+03 1.896364379882812500e+03 2.118266975308642031e+03
2.145477909768638836e-01 1.417999565972222172e+03 1.452697544642857110e+03 1.896564793577981845e+03
2.451974754021301606e-01 9.022261067708333258e+02 1.101197374131944343e+03 1.553558360042735103e+03
2.758471598273964376e-01 8.450321740591398338e+02 8.953313281250000273e+02 1.148396283783783929e+03
3.064968442526627146e-01 5.973161321271929864e+02 7.511098958333333258e+02 1.014778513824884840e+03
3.371465286779289916e-01 5.705393992456896513e+02 6.873575439453125000e+02 7.528661177385891961e+02
3.677962131031952131e-01 5.296979525862068385e+02 5.430895543981481524e+02 5.610488481228668434e+02
3.984458975284614901e-01 4.381165296052631675e+02 4.630029535060975832e+02 5.543313238188976584e+02
4.290955819537277671e-01 4.116625781249999818e+02 4.260290482954545155e+02 4.217125993276283680e+02
4.597452663789940441e-01 3.609279751712328448e+02 3.462009548611110858e+02 3.598216057256236127e+02
4.903949508042603211e-01 3.320354886968084998e+02 2.958222952178030596e+02 3.212515977036395043e+02
5.210446352295265982e-01 2.855734017565359295e+02 2.481262056327160224e+02 2.716682352329451078e+02
5.516943196547927641e-01 2.664636718749999886e+02 2.396508847891566347e+02 2.035479894793152766e+02
5.823440040800591522e-01 2.432847478217158255e+02 2.129973807803468162e+02 1.939418437921727332e+02
6.129936885053253182e-01 2.403675761815920282e+02 1.839597275995575103e+02 1.656634154820766298e+02
6.436433729305917062e-01 2.077085423096708041e+02 1.693016170851528273e+02 1.549641705366356916e+02
6.742930573558578722e-01 1.937690938113948675e+02 1.615880966508438803e+02 1.299243597560975729e+02
7.049427417811242602e-01 1.855360996462264040e+02 1.493147148840206171e+02 1.123438007776230307e+02
7.355924262063904262e-01 1.688602574750830740e+02 1.280815942796610045e+02 9.624938479043183293e+01
7.662421106316565922e-01 1.652778592375366600e+02 1.213680340557275628e+02 9.119470403196179120e+01
7.968917950569229802e-01 1.559585573871650297e+02 1.103721610314207595e+02 7.435459733462350584e+01
8.275414794821891462e-01 1.464029375000000073e+02 1.036157467532467535e+02 6.728817293201606731e+01
8.581911639074555342e-01 1.381133825913915132e+02 9.328370253164557369e+01 6.038704637096774519e+01
8.888408483327217002e-01 1.315448114907727870e+02 8.767702297185429927e+01 5.624696808126083880e+01
9.194905327579880883e-01 1.247036458333333400e+02 8.306623931623931867e+01 4.898438746012759282e+01
9.501402171832542543e-01 1.199836785368216994e+02 7.399768666752049739e+01 4.574242297642197030e+01
9.807899016085206423e-01 1.173786204268292721e+02 7.004175916438980209e+01 4.273932000486144744e+01
1.011439586033786808e+00 1.090545996431660996e+02 6.323077931757950410e+01 3.910936827956989248e+01
1.042089270459053196e+00 1.076053370786516865e+02 6.036802083333333968e+01 3.344466486418510698e+01
1.072738954884319362e+00 1.047777293988853557e+02 5.664559823495370239e+01 3.042403417067789562e+01
1.103388639309585528e+00 9.874794857768053191e+01 5.232460937500000142e+01 2.770425172018348547e+01
1.134038323734851916e+00 9.608757218070651618e+01 4.854275682734603947e+01 2.538204066265060277e+01
1.164688008160118304e+00 9.344634852841679162e+01 4.523056689698492505e+01 2.423789884731039024e+01
1.195337692585384470e+00 8.825963225909382004e+01 4.433420858577805745e+01 2.209770028180354373e+01
1.225987377010650636e+00 8.612390715317918932e+01 4.112342969725343522e+01 2.057891462134375615e+01
1.256637061435917024e+00 8.305568084192439926e+01 3.941833114212513323e+01 1.802893727836879378e+01
1.287286745861183412e+00 8.066472558487487277e+01 3.779788264956092547e+01 1.685335184205134951e+01
1.317936430286449578e+00 7.694017676127724314e+01 3.486917739932007976e+01 1.605330093410754699e+01
1.348586114711715744e+00 7.516563127510039521e+01 3.298627843688845473e+01 1.485017963408457753e+01
1.379235799136982132e+00 7.384898510514018710e+01 3.093037683823529349e+01 1.411309048174383740e+01
1.409885483562248520e+00 7.005662746969015586e+01 2.972920801244075761e+01 1.284065706955530217e+01
1.440535167987514686e+00 6.964471495119786937e+01 2.853289228723404136e+01 1.187946232123212376e+01
1.471184852412780852e+00 6.760895704732510580e+01 2.713274118257261236e+01 1.135975330980836517e+01
1.501834536838047018e+00 6.551864583333333769e+01 2.634462184769658322e+01 1.097973647204755387e+01
1.532484221263313406e+00 6.445056742481918377e+01 2.438226281811377305e+01 1.013168870306277292e+01
1.563133905688579794e+00 6.364740511321454619e+01 2.376472222222222186e+01 9.592514521266629401e+00
1.593783590113845960e+00 6.046630893354210201e+01 2.196076948924731198e+01 8.913150794592029413e+00
1.624433274539112126e+00 5.889547358795508814e+01 2.135558333333333181e+01 8.632569402889382459e+00
1.655082958964378514e+00 5.768311737804877737e+01 2.025841700819672297e+01 7.865064215159529581e+00
1.685732643389644902e+00 5.709602192776735308e+01 1.975417462812294644e+01 7.758955328368181803e+00
1.716382327814911068e+00 5.545151362650975102e+01 1.889679435784606198e+01 7.252196776214340446e+00
1.747032012240177234e+00 5.422195258371824167e+01 1.796713531031213407e+01 7.000511324686101489e+00
1.777681696665443623e+00 5.244184767177740270e+01 1.744367871149971450e+01 6.612613287352648861e+00
1.808331381090710011e+00 5.112060925387596910e+01 1.697462226691419218e+01 6.227461869740653633e+00
1.838981065515976177e+00 5.171522217117353648e+01 1.554086027439822182e+01 6.013167186882330206e+00
1.869630749941242343e+00 4.912616544495885051e+01 1.557684341926949045e+01 5.686766168356216511e+00
1.900280434366508731e+00 4.959461291913215319e+01 1.475874462938921816e+01 5.566616143834344221e+00
1.930930118791775119e+00 4.770733602018212594e+01 1.443848897238514084e+01 5.352704326923076295e+00
1.961579803217041285e+00 4.733538874768946414e+01 1.373797849716446073e+01 5.117374306919256099e+00
1.992229487642307451e+00 4.618661444332437327e+01 1.341980273011982483e+01 4.858592613572787045e+00
2.022879172067573617e+00 4.488046737455986346e+01 1.251792177829354458e+01 4.741674807393859048e+00
